Username,Comment
@Kiyotakapartik,Bhai mera chota bhai ne pure phone kahe liya veg tha
@naturelover4889,Koi hai 2026 me 🎉🎉❤❤❤
@crazy_nabbu,"Brother, I was just drinking water and you made me laugh so hard that I threw away all the water.😂😂😂 4:17"
@mustakansari2462,Password 101
@jamunamandal7090,Tijori khulati Kyon Nahin Hai andar Johnny Singh hai
@jamunamandal7090,Posowarb101
@whhsuhdje,Processor + jab kattra😂😂😂😂
@Latif_Shaikhh,Best Collab ❤
@misterarkay,My favorite youtube 😂
@LopeshPatel-b4o,Laughing from Chhattisgarh...😂
@BURRPY10,Himachal 😅😅
@happydeathdayyy,0:46  tu bhi mujhe bhid main mar raha tha 😂
@AmitYadav-o8c6w,0:47
@Sayanidas-h1e,Useless
@mukhtarhussain4610,3:18 best part of the video 😂
@VickySingh-oy5wn,Mojhe laga Punjab ka v nam aye ga
@Anteshkumar0001,2:04 😂😂😂
@yuvrajharvdiya5750,43 is averry funny 🤣🤣
@JRmusiccover,Bhople🤣🤣
@Aarav_Ultimate,2:11 phat phat😂
@harmoniousSiraat,bring back that low grade style animation back
@manishmiree,Chhatisgarh ❤
@ALLTYPESMOVIES-cl6be,3:22 😂😂
@Mtz_mehul_gmt,mainde fresh video 😂
@patnaai,3:18 is the best scared move 😂😂
@TarunS-r7i,4:36 tarun naam wale likaro
@TarunS-r7i,Kis kis ka naam tarun hai like karo is comment ko
@HindiDreamStoryAnimations,nice
@abdulahad-r1z7f,Love for Pakistan 😅
@FasiaKashif,Auto wale tujhe bhi pata nahin hai kya chij hai😅😅😅😅
@homelessbalak,😂😂
@tarankumar5357,bhai tera vice सुनने मे बहुत मजा आता है 🤣🤣🤣🤣
@RDX-g5x,1:58 Jai chattisgarh ❤❤
@PankajRajoriya-sd5zr,Pankaj ne kya bigada he bhai tera 😅😅
@MAKKHAN007,2:15😂
@jaaname,Posword 101
@AlokKewat-s3w,20₹ super thanks
@JanviPundir-x1j,Password 101😂😂😂😂
@Pritinishakoch09,3:17 besttt😂😂😂
@RaselAlam-rg2dc,Password 101..😂😂
@narayanpanda-qx4my,4:05 tnt ka sound minecraft se tha😂😂❤🎉🤣🤣
@kirmada4148,Any One Here 2025❤❤
@ClipverseToons,😂😂❤
@JyotiJi-o5y,Nice yar 😈🥰
@Somuyyaaaa,101 password Hai 😡😡😡
@mayurvala2088,5:02 Kese Socha Mene A
@Sapnamishra-z9x,Password pahle se likha hai 101😂😂
@SakibIslam-k4f,Why this video was in netflix 😂😂
@KaranveerSingh-m2o,5.20 😂😂😂😂😂😂😂😂
@crossoverscript4975,Koi bhedbhaaw nai 2 state 2 city
@VibeFrame-p7f,Love it and addictive 🍷♥️
@lucifer_429,1:18 processor 🗿🤣
@firebreakers7255,0:11 are pankaj toh mera name he😂😂😂
@christopherrobert443,Aur money heist ki kahani dhoom 3 Jaisi
@Selmonbhai3653,2:26 😂😂😂😂
@FasiaKashif,😂😂😅
@dhavalgondude2589,Password 101 😂
@shahanasyed8499,Processor😂😂😂 1:18
@PakistanZindabad-e7k7h,Anyone watching 2026?
@Dhanywad_Aapka,Chhattiagarh Jo Hai Like Karo
@HemantSahu-pe4pq,Chattisgarh ❤❤❤
